days;alive;dead;new;alive_theo;stadeC_theo;stadeE_theo;stadeF_theo;dead_theo
2018-06-19; 1; 0;1; 1; 1; 0; 0; 0
2018-06-20; 1; 0;0; 1; 1; 0; 0; 0
2018-06-21; 1; 0;0; 1; 1; 0; 0; 0
2018-06-22; 1; 0;0; 1; 1; 0; 0; 0
2018-06-23; 1; 0;0; 1; 1; 0; 0; 0
2018-06-24; 1; 0;0; 1; 1; 0; 0; 0
2018-06-25; 1; 0;0; 1; 1; 0; 0; 0
2018-06-26; 1; 0;0; 1; 0; 1; 0; 0
2018-06-27; 1; 0;0; 1; 0; 1; 0; 0
2018-06-28; 1; 0;0; 1; 0; 1; 0; 0
2018-06-29; 1; 0;0; 1; 0; 1; 0; 0
2018-06-30; 1; 0;0; 1; 0; 1; 0; 0
2018-07-01; 1; 0;0; 1; 0; 1; 0; 0
2018-07-02; 1; 0;0; 1; 0; 1; 0; 0
2018-07-03; 1; 0;0; 1; 0; 1; 0; 0
2018-07-04; 2; 0;1; 2; 1; 1; 0; 0
2018-07-05; 2; 0;0; 2; 1; 0; 1; 0
2018-07-06; 2; 0;0; 2; 1; 0; 1; 0
2018-07-07; 2; 0;0; 2; 1; 0; 1; 0
2018-07-08; 2; 0;0; 2; 1; 0; 1; 0
2018-07-09; 2; 0;0; 2; 1; 0; 1; 0
2018-07-10; 2; 0;0; 2; 1; 0; 1; 0
2018-07-11; 2; 0;0; 2; 0; 1; 1; 0
2018-07-12; 2; 0;0; 2; 0; 1; 1; 0
2018-07-13; 2; 0;0; 2; 0; 1; 1; 0
2018-07-14; 2; 0;0; 2; 0; 1; 1; 0
2018-07-15; 2; 0;0; 2; 0; 1; 1; 0
2018-07-16; 2; 0;0; 2; 0; 1; 1; 0
2018-07-17; 2; 0;0; 2; 0; 1; 1; 0
2018-07-18; 2; 0;0; 2; 0; 1; 1; 0
2018-07-19; 3; 0;1; 3; 1; 1; 1; 0
2018-07-20; 3; 0;0; 3; 1; 0; 2; 0
2018-07-21; 3; 0;0; 3; 1; 0; 2; 0
2018-07-22; 3; 0;0; 3; 1; 0; 2; 0
2018-07-23; 3; 0;0; 3; 1; 0; 2; 0
2018-07-24; 5; 0;2; 5; 3; 0; 2; 0
2018-07-25; 6; 0;1; 6; 4; 0; 2; 0
2018-07-26; 8; 0;2; 8; 5; 1; 2; 0
2018-07-27; 8; 0;0; 8; 5; 1; 2; 0
2018-07-28;10; 0;2;10; 7; 1; 2; 0
2018-07-29;11; 0;1;11; 8; 1; 2; 0
2018-07-30;12; 0;1;12; 9; 1; 2; 0
2018-07-31;12; 0;0;12; 7; 3; 2; 0
2018-08-01;12; 0;0;12; 6; 4; 2; 0
2018-08-02;16; 0;4;16; 8; 6; 2; 0
2018-08-03;16; 0;0;16; 8; 6; 2; 0
2018-08-04;19; 0;3;19; 9; 7; 3; 0
2018-08-05;19; 0;0;19; 8; 8; 3; 0
2018-08-06;19; 0;0;19; 7; 9; 3; 0
2018-08-07;22; 0;3;22;10; 9; 3; 0
2018-08-08;23; 0;1;22;11; 9; 2; 1
2018-08-09;23; 0;0;22; 7;11; 4; 1
2018-08-10;25; 0;2;24; 9;10; 5; 1
2018-08-11;26; 0;1;25; 7;11; 7; 1
2018-08-12;27; 0;1;26; 8;11; 7; 1
2018-08-13;27; 0;0;26; 8; 9; 9; 1
2018-08-14;27; 0;0;26; 5;11;10; 1
2018-08-15;27; 0;0;26; 4;11;11; 1
2018-08-16;27; 0;0;26; 4;11;11; 1
2018-08-17;27; 0;0;26; 2;13;11; 1
2018-08-18;29; 0;2;28; 3;10;15; 1
2018-08-19;30; 0;1;29; 3;11;15; 1
2018-08-20;30; 0;0;29; 3; 8;18; 1
2018-08-21;31; 0;1;30; 4; 8;18; 1
2018-08-22;31; 0;0;30; 4; 8;18; 1
2018-08-23;32; 0;1;30; 5; 5;20; 2
2018-08-24;32; 0;0;30; 5; 4;21; 2
2018-08-25;33; 0;1;31; 4; 6;21; 2
2018-08-26;35; 0;2;33; 5; 5;23; 2
2018-08-27;35; 0;0;33; 5; 4;24; 2
2018-08-28;35; 0;0;33; 4; 4;25; 2
2018-08-29;35; 0;0;33; 4; 4;25; 2
