V1;V2
2017-07-18;  24.00000
2017-07-19;  30.57143
2017-07-20;  37.14286
2017-07-21;  43.71429
2017-07-22;  50.28571
2017-07-23;  56.85714
2017-07-24;  63.42857
2017-07-25;  70.00000
2017-07-26;  74.28571
2017-07-27;  78.57143
2017-07-28;  82.85714
2017-07-29;  87.14286
2017-07-30;  91.42857
2017-07-31;  95.71429
2017-08-01; 100.00000
2017-08-02; 105.00000
2017-08-03; 110.00000
2017-08-04; 115.00000
2017-08-05; 120.00000
2017-08-06; 125.00000
2017-08-07; 130.00000
2017-08-08; 135.00000
2017-08-09; 141.50000
2017-08-10; 148.00000
2017-08-11; 154.50000
2017-08-12; 161.00000
2017-08-13; 167.50000
2017-08-14; 174.00000
2017-08-15; 180.50000
2017-08-16; 187.00000
2017-08-17; 182.00000
2017-08-18; 177.00000
2017-08-19; 175.20000
2017-08-20; 173.40000
2017-08-21; 171.60000
2017-08-22; 169.80000
2017-08-23; 168.00000
2017-08-24; 160.50000
2017-08-25; 153.00000
2017-08-26; 195.50000
2017-08-27; 238.00000
2017-08-28; 280.50000
2017-08-29; 323.00000
2017-08-30; 372.66667
2017-08-31; 422.33333
2017-09-01; 472.00000
2017-09-02; 495.00000
2017-09-03; 518.00000
2017-09-04; 541.00000
2017-09-05; 564.00000
2017-09-06; 587.00000
2017-09-07; 685.50000
2017-09-08; 784.00000
2017-09-09; 830.60000
2017-09-10; 877.20000
2017-09-11; 923.80000
2017-09-12; 970.40000
2017-09-13;1017.00000
2017-09-14; 951.00000
2017-09-15; 885.00000
2017-09-16; 889.00000
2017-09-17; 893.00000
2017-09-18; 897.00000
2017-09-19; 901.00000
2017-09-20; 905.00000
2017-09-21; 828.00000
2017-09-22; 751.00000
2017-09-23; 777.75000
2017-09-24; 804.50000
2017-09-25; 831.25000
2017-09-26; 858.00000
2017-09-27; 773.33333
2017-09-28; 688.66667
2017-09-29; 604.00000
2017-09-30; 557.75000
2017-10-01; 511.50000
2017-10-02; 465.25000
2017-10-03; 419.00000
2017-10-04; 367.85000
2017-10-05; 316.70000
2017-10-06; 265.55000
